Site : Fort-de-France [Martinique] (Martinique)
latitude : 14.601433 - longitude : -61.063301
Système horaire : HEURES LOCALES -04h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	07:33	0.80	000	22:03	0.80	000	02:52	0.75	14:34	0.65
2021-07-02	08:55	0.75	000	22:18	0.85	000	04:07	0.70	15:03	0.70
2021-07-03	10:53	0.70	000	22:36	0.85	000	05:28	0.65	15:20	0.70
2021-07-04	22:56	0.85	000	--:--	--.--	---	06:46	0.65	--:--	--.--
2021-07-05	23:20	0.85	000	--:--	--.--	---	07:43	0.60	--:--	--.--
2021-07-06	23:47	0.85	000	--:--	--.--	---	08:26	0.55	--:--	--.--
2021-07-07	--:--	--.--	---	--:--	--.--	---	09:05	0.55	--:--	--.--
2021-07-08	00:19	0.90	000	--:--	--.--	---	09:40	0.55	--:--	--.--
2021-07-09	00:55	0.90	000	--:--	--.--	---	10:16	0.50	--:--	--.--
2021-07-10	01:36	0.90	000	--:--	--.--	---	10:51	0.50	--:--	--.--
2021-07-11	02:20	0.90	000	--:--	--.--	---	11:23	0.55	--:--	--.--
2021-07-12	03:06	0.90	000	--:--	--.--	---	11:53	0.55	--:--	--.--
2021-07-13	03:53	0.90	000	--:--	--.--	---	12:18	0.55	--:--	--.--
2021-07-14	04:42	0.90	000	20:25	0.80	000	12:41	0.60	--:--	--.--
2021-07-15	05:35	0.85	000	20:37	0.85	000	00:16	0.75	13:04	0.65
2021-07-16	06:40	0.80	000	20:54	0.85	000	01:46	0.75	13:26	0.65
2021-07-17	08:11	0.75	000	21:17	0.90	000	03:06	0.70	13:48	0.70
2021-07-18	10:22	0.70	000	21:47	0.90	000	04:24	0.65	14:00	0.70
2021-07-19	22:25	0.90	000	--:--	--.--	---	05:44	0.60	--:--	--.--
2021-07-20	23:10	0.95	000	--:--	--.--	---	06:58	0.55	--:--	--.--
2021-07-21	23:59	0.95	000	--:--	--.--	---	08:01	0.50	--:--	--.--
2021-07-22	--:--	--.--	---	--:--	--.--	---	08:54	0.50	--:--	--.--
2021-07-23	00:51	0.95	000	--:--	--.--	---	09:40	0.50	--:--	--.--
2021-07-24	01:45	0.95	000	--:--	--.--	---	10:23	0.50	--:--	--.--
2021-07-25	02:41	0.95	000	19:24	0.80	000	11:02	0.50	21:19	0.75
2021-07-26	03:39	0.90	000	19:34	0.80	000	11:39	0.55	23:04	0.75
2021-07-27	04:39	0.90	000	19:49	0.80	000	12:14	0.60	--:--	--.--
2021-07-28	05:41	0.85	000	20:07	0.85	000	00:26	0.75	12:48	0.60
2021-07-29	06:44	0.80	000	20:28	0.85	000	01:35	0.70	13:21	0.65
2021-07-30	07:53	0.75	000	20:51	0.85	000	02:40	0.70	13:51	0.70
2021-07-31	09:14	0.75	000	21:17	0.85	000	03:46	0.65	14:13	0.70
