Site : Saint-Nazaire (Loire-Atlantique)
latitude : 47.266949 - longitude : -2.201667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	01:00	4.20	027	14:08	4.30	027	06:42	2.80	19:42	2.75
2021-09-02	02:30	4.35	029	15:03	4.55	034	08:04	2.75	20:56	2.50
2021-09-03	03:21	4.60	039	15:41	4.90	046	09:15	2.45	21:51	2.15
2021-09-04	04:00	4.90	053	16:13	5.20	060	10:06	2.05	22:36	1.75
2021-09-05	04:34	5.25	067	16:45	5.55	073	10:49	1.70	23:16	1.35
2021-09-06	05:07	5.55	079	17:18	5.85	085	11:27	1.35	23:54	1.05
2021-09-07	05:40	5.80	090	17:51	6.10	094	12:05	1.05	--:--	--.--
2021-09-08	06:14	5.95	097	18:26	6.20	100	00:32	0.85	12:43	0.85
2021-09-09	06:48	6.05	101	19:00	6.20	100	01:10	0.75	13:22	0.80
2021-09-10	07:22	5.95	099	19:36	6.05	096	01:48	0.75	14:02	0.85
2021-09-11	07:57	5.80	092	20:12	5.75	087	02:28	0.90	14:44	1.05
2021-09-12	08:33	5.50	081	20:50	5.35	073	03:11	1.20	15:31	1.35
2021-09-13	09:15	5.10	066	21:37	4.90	058	04:00	1.60	16:26	1.70
2021-09-14	10:14	4.75	051	--:--	--.--	---	04:59	1.95	17:34	2.05
2021-09-15	00:56	4.50	045	13:31	4.70	042	06:12	2.25	18:52	2.15
2021-09-16	02:20	4.60	043	14:42	4.90	046	07:33	2.25	20:15	2.00
2021-09-17	03:25	4.85	052	15:36	5.25	058	08:52	2.00	21:28	1.65
2021-09-18	04:12	5.10	066	16:15	5.50	072	09:57	1.60	22:25	1.30
2021-09-19	04:43	5.35	079	16:46	5.75	084	10:48	1.25	23:12	1.00
2021-09-20	05:06	5.50	088	17:15	5.95	091	11:33	1.00	23:54	0.85
2021-09-21	05:31	5.65	093	17:45	6.05	094	12:13	0.90	--:--	--.--
2021-09-22	05:59	5.75	094	18:15	6.05	094	00:32	0.85	12:50	0.90
2021-09-23	06:27	5.75	092	18:45	5.95	090	01:06	0.95	13:23	1.05
2021-09-24	06:56	5.70	086	19:15	5.75	082	01:38	1.15	13:56	1.30
2021-09-25	07:24	5.55	078	19:44	5.50	072	02:09	1.40	14:28	1.55
2021-09-26	07:52	5.30	067	20:13	5.15	061	02:40	1.70	15:01	1.90
2021-09-27	08:20	5.05	054	20:43	4.80	048	03:14	2.00	15:39	2.25
2021-09-28	08:52	4.70	041	21:23	4.40	035	03:53	2.35	16:26	2.55
2021-09-29	09:38	4.40	030	--:--	--.--	---	04:43	2.65	17:30	2.80
2021-09-30	00:35	4.15	026	13:19	4.30	024	05:52	2.85	18:56	2.85
