Site : Saint-Nazaire (Loire-Atlantique)
latitude : 47.266949 - longitude : -2.201667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	09:45	4.65	055	22:27	4.85	051	04:46	1.75	17:15	2.05
2021-07-02	10:46	4.50	047	23:35	4.70	044	05:38	2.05	18:12	2.25
2021-07-03	12:20	4.40	043	--:--	--.--	---	06:34	2.25	19:11	2.35
2021-07-04	00:50	4.60	042	14:14	4.50	042	07:35	2.35	20:11	2.35
2021-07-05	02:06	4.65	043	14:58	4.70	046	08:35	2.30	21:07	2.25
2021-07-06	03:05	4.75	048	15:34	4.85	051	09:27	2.20	21:56	2.10
2021-07-07	03:52	4.90	054	16:09	5.05	057	10:13	2.05	22:40	1.95
2021-07-08	04:31	5.00	060	16:42	5.20	063	10:53	1.85	23:20	1.75
2021-07-09	05:08	5.15	066	17:15	5.35	068	11:30	1.70	23:59	1.60
2021-07-10	05:42	5.25	071	17:49	5.45	072	12:07	1.60	--:--	--.--
2021-07-11	06:17	5.35	074	18:24	5.55	075	00:37	1.50	12:44	1.50
2021-07-12	06:51	5.35	076	19:00	5.55	076	01:15	1.40	13:22	1.45
2021-07-13	07:27	5.35	076	19:38	5.55	076	01:54	1.35	14:01	1.50
2021-07-14	08:04	5.30	075	20:19	5.45	073	02:33	1.40	14:42	1.55
2021-07-15	08:45	5.15	071	21:03	5.30	068	03:14	1.45	15:26	1.60
2021-07-16	09:31	5.00	066	21:53	5.15	063	03:59	1.55	16:16	1.75
2021-07-17	10:28	4.85	060	22:53	4.95	058	04:49	1.70	17:12	1.85
2021-07-18	11:54	4.75	056	--:--	--.--	---	05:47	1.80	18:15	1.90
2021-07-19	00:19	4.85	055	13:36	4.80	055	06:51	1.85	19:21	1.85
2021-07-20	01:59	4.85	057	14:43	5.00	059	08:00	1.80	20:29	1.70
2021-07-21	03:11	5.00	063	15:38	5.25	067	09:08	1.60	21:36	1.45
2021-07-22	04:11	5.15	072	16:27	5.50	077	10:10	1.35	22:39	1.15
2021-07-23	05:01	5.35	081	17:11	5.70	085	11:07	1.10	23:35	0.90
2021-07-24	05:43	5.45	088	17:52	5.85	091	11:59	0.95	--:--	--.--
2021-07-25	06:20	5.50	092	18:30	5.90	093	00:27	0.75	12:47	0.85
2021-07-26	06:53	5.50	092	19:06	5.85	091	01:15	0.70	13:34	0.90
2021-07-27	07:24	5.45	089	19:42	5.75	085	02:00	0.80	14:18	1.10
2021-07-28	07:56	5.30	081	20:17	5.55	077	02:43	1.00	15:01	1.35
2021-07-29	08:29	5.15	072	20:55	5.30	066	03:24	1.30	15:45	1.65
2021-07-30	09:04	4.95	061	21:35	5.00	055	04:06	1.65	16:30	1.95
2021-07-31	09:44	4.70	050	22:24	4.70	045	04:49	2.00	17:19	2.25
