Site : Saint-Nazaire (Loire-Atlantique)
latitude : 47.266949 - longitude : -2.201667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	10:39	4.45	040	23:37	4.45	036	05:37	2.30	18:15	2.50
2021-08-02	12:32	4.30	034	--:--	--.--	---	06:33	2.50	19:18	2.60
2021-08-03	01:22	4.40	033	14:38	4.45	035	07:39	2.60	20:25	2.55
2021-08-04	02:49	4.50	037	15:24	4.65	041	08:48	2.50	21:25	2.35
2021-08-05	03:41	4.65	045	16:00	4.90	050	09:44	2.25	22:15	2.10
2021-08-06	04:21	4.90	055	16:32	5.15	060	10:31	2.00	22:59	1.80
2021-08-07	04:56	5.10	064	17:04	5.40	069	11:12	1.75	23:40	1.50
2021-08-08	05:29	5.35	073	17:38	5.60	077	11:50	1.50	--:--	--.--
2021-08-09	06:03	5.50	081	18:12	5.80	084	00:19	1.30	12:28	1.30
2021-08-10	06:36	5.65	086	18:47	5.90	088	00:57	1.10	13:05	1.15
2021-08-11	07:10	5.70	089	19:22	5.90	089	01:34	1.00	13:43	1.10
2021-08-12	07:45	5.65	088	19:59	5.80	086	02:12	1.00	14:23	1.15
2021-08-13	08:21	5.50	084	20:37	5.60	080	02:52	1.10	15:05	1.25
2021-08-14	09:00	5.30	076	21:19	5.30	071	03:34	1.30	15:52	1.45
2021-08-15	09:45	5.00	066	22:09	5.00	060	04:22	1.55	16:46	1.70
2021-08-16	10:49	4.75	055	23:31	4.65	051	05:19	1.85	17:49	1.90
2021-08-17	13:30	4.70	049	--:--	--.--	---	06:26	2.05	19:02	2.00
2021-08-18	02:09	4.65	048	14:42	4.90	050	07:42	2.05	20:18	1.90
2021-08-19	03:21	4.80	054	15:40	5.15	060	08:58	1.90	21:31	1.60
2021-08-20	04:17	5.05	066	16:26	5.45	072	10:04	1.55	22:33	1.25
2021-08-21	05:00	5.30	078	17:04	5.70	083	11:00	1.20	23:26	0.95
2021-08-22	05:32	5.45	088	17:38	5.90	091	11:48	0.95	--:--	--.--
2021-08-23	06:01	5.55	093	18:11	6.00	094	00:13	0.75	12:33	0.85
2021-08-24	06:29	5.65	095	18:42	6.00	094	00:56	0.75	13:14	0.85
2021-08-25	06:57	5.60	092	19:14	5.90	089	01:36	0.80	13:52	1.00
2021-08-26	07:26	5.55	085	19:46	5.70	081	02:13	1.05	14:29	1.25
2021-08-27	07:56	5.40	076	20:18	5.45	071	02:47	1.30	15:05	1.55
2021-08-28	08:26	5.15	065	20:51	5.10	059	03:22	1.65	15:43	1.95
2021-08-29	08:58	4.90	052	21:27	4.75	046	03:59	2.00	16:25	2.30
2021-08-30	09:35	4.55	040	22:16	4.40	034	04:40	2.35	17:16	2.60
2021-08-31	10:33	4.25	030	--:--	--.--	---	05:33	2.65	18:22	2.80
