Site : Fort-de-France [Martinique] (Martinique)
latitude : 14.601433 - longitude : -61.063301
Système horaire : HEURES LOCALES -04h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	06:19	0.80	000	23:18	0.75	000	01:16	0.75	14:42	0.55
2021-06-02	07:21	0.80	000	23:31	0.80	000	02:44	0.75	15:22	0.60
2021-06-03	08:51	0.75	000	23:37	0.80	000	04:09	0.70	15:57	0.65
2021-06-04	10:45	0.70	000	23:42	0.80	000	05:45	0.70	16:26	0.65
2021-06-05	13:27	0.70	000	23:51	0.80	000	07:16	0.65	16:46	0.70
2021-06-06	--:--	--.--	---	--:--	--.--	---	08:05	0.60	--:--	--.--
2021-06-07	00:04	0.85	000	--:--	--.--	---	08:44	0.60	--:--	--.--
2021-06-08	00:22	0.85	000	--:--	--.--	---	09:19	0.55	--:--	--.--
2021-06-09	00:44	0.85	000	--:--	--.--	---	09:52	0.55	--:--	--.--
2021-06-10	01:12	0.85	000	--:--	--.--	---	10:26	0.50	--:--	--.--
2021-06-11	01:46	0.85	000	--:--	--.--	---	11:00	0.50	--:--	--.--
2021-06-12	02:26	0.85	000	--:--	--.--	---	11:33	0.50	--:--	--.--
2021-06-13	03:09	0.85	000	--:--	--.--	---	12:06	0.50	--:--	--.--
2021-06-14	03:54	0.85	000	--:--	--.--	---	12:40	0.55	--:--	--.--
2021-06-15	04:40	0.85	000	--:--	--.--	---	13:12	0.55	--:--	--.--
2021-06-16	05:27	0.85	000	21:45	0.80	000	13:42	0.60	--:--	--.--
2021-06-17	06:16	0.85	000	21:55	0.80	000	01:02	0.75	14:11	0.60
2021-06-18	07:18	0.80	000	22:08	0.85	000	02:38	0.75	14:40	0.65
2021-06-19	09:01	0.75	000	22:27	0.85	000	04:06	0.70	15:07	0.65
2021-06-20	11:23	0.70	000	22:53	0.90	000	05:34	0.65	15:30	0.70
2021-06-21	23:28	0.90	000	--:--	--.--	---	06:53	0.60	--:--	--.--
2021-06-22	--:--	--.--	---	--:--	--.--	---	07:56	0.55	--:--	--.--
2021-06-23	00:09	0.95	000	--:--	--.--	---	08:50	0.50	--:--	--.--
2021-06-24	00:57	0.95	000	--:--	--.--	---	09:40	0.45	--:--	--.--
2021-06-25	01:48	0.95	000	--:--	--.--	---	10:29	0.45	--:--	--.--
2021-06-26	02:42	0.95	000	--:--	--.--	---	11:16	0.45	--:--	--.--
2021-06-27	03:37	0.90	000	--:--	--.--	---	12:01	0.50	--:--	--.--
2021-06-28	04:32	0.90	000	21:25	0.75	000	12:44	0.50	--:--	--.--
2021-06-29	05:28	0.85	000	21:37	0.80	000	00:08	0.75	13:23	0.55
2021-06-30	06:27	0.80	000	21:51	0.80	000	01:36	0.75	14:01	0.60
