Site : Audierne Quai Pelletan (Finistère)
latitude : 48.021549 - longitude : -4.537580
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	00:04	3.60	027	12:55	3.65	027	06:30	2.40	19:41	2.35
2021-09-02	01:46	3.65	029	14:29	3.85	034	08:02	2.30	20:57	2.15
2021-09-03	03:00	3.85	039	15:24	4.10	046	09:12	2.10	21:48	1.85
2021-09-04	03:49	4.15	053	16:04	4.45	060	10:00	1.80	22:29	1.55
2021-09-05	04:28	4.45	067	16:41	4.75	073	10:40	1.50	23:07	1.20
2021-09-06	05:05	4.70	079	17:17	5.00	085	11:18	1.20	23:45	0.95
2021-09-07	05:40	4.95	090	17:53	5.25	094	11:57	0.95	--:--	--.--
2021-09-08	06:16	5.15	097	18:29	5.35	100	00:23	0.75	12:35	0.75
2021-09-09	06:53	5.20	101	19:07	5.40	100	01:00	0.65	13:14	0.70
2021-09-10	07:31	5.20	099	19:47	5.25	096	01:38	0.65	13:53	0.75
2021-09-11	08:10	5.05	092	20:28	5.05	087	02:17	0.80	14:34	0.90
2021-09-12	08:53	4.80	081	21:14	4.70	073	02:57	1.10	15:18	1.20
2021-09-13	09:42	4.50	066	22:11	4.30	058	03:43	1.45	16:11	1.55
2021-09-14	10:47	4.20	051	23:32	3.95	045	04:41	1.80	17:22	1.90
2021-09-15	12:22	4.05	042	--:--	--.--	---	06:03	2.05	18:57	1.95
2021-09-16	01:18	3.90	043	13:58	4.20	046	07:37	2.05	20:24	1.75
2021-09-17	02:43	4.15	052	15:07	4.50	058	08:54	1.80	21:30	1.45
2021-09-18	03:41	4.45	066	15:58	4.80	072	09:53	1.45	22:22	1.15
2021-09-19	04:26	4.70	079	16:41	5.05	084	10:42	1.15	23:07	0.90
2021-09-20	05:05	4.95	088	17:19	5.25	091	11:25	0.95	23:46	0.80
2021-09-21	05:41	5.05	093	17:55	5.30	094	12:03	0.85	--:--	--.--
2021-09-22	06:13	5.10	094	18:27	5.30	094	00:22	0.75	12:37	0.85
2021-09-23	06:43	5.05	092	18:58	5.20	090	00:54	0.85	13:08	0.95
2021-09-24	07:11	4.95	086	19:28	5.00	082	01:23	0.95	13:38	1.10
2021-09-25	07:40	4.80	078	19:58	4.75	072	01:53	1.15	14:09	1.30
2021-09-26	08:09	4.60	067	20:29	4.45	061	02:22	1.40	14:40	1.60
2021-09-27	08:41	4.30	054	21:05	4.15	048	02:53	1.70	15:13	1.90
2021-09-28	09:19	4.05	041	21:52	3.80	035	03:27	2.00	15:55	2.20
2021-09-29	10:13	3.75	030	23:10	3.55	026	04:14	2.30	17:03	2.45
2021-09-30	11:51	3.60	024	--:--	--.--	---	05:30	2.50	18:58	2.45
