Site : Roscoff (Finistère)
latitude : 48.716667 - longitude : -3.966667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	00:06	7.20	045	12:33	6.90	040	06:32	3.35	18:59	3.65
2021-08-02	01:02	6.80	036	13:37	6.70	034	07:28	3.70	20:09	3.90
2021-08-03	02:15	6.60	033	14:58	6.70	035	08:45	3.85	21:31	3.85
2021-08-04	03:38	6.65	037	16:12	6.95	041	10:01	3.70	22:40	3.55
2021-08-05	04:44	6.95	045	17:07	7.30	050	11:03	3.35	23:34	3.10
2021-08-06	05:36	7.35	055	17:52	7.70	060	11:53	2.95	--:--	--.--
2021-08-07	06:19	7.70	064	18:32	8.10	069	00:20	2.65	12:37	2.55
2021-08-08	06:58	8.00	073	19:09	8.40	077	01:01	2.25	13:17	2.20
2021-08-09	07:36	8.25	081	19:46	8.60	084	01:41	1.90	13:56	1.90
2021-08-10	08:13	8.45	086	20:24	8.80	088	02:19	1.60	14:34	1.70
2021-08-11	08:51	8.55	089	21:01	8.85	089	02:57	1.45	15:12	1.60
2021-08-12	09:28	8.55	088	21:40	8.75	086	03:35	1.45	15:49	1.65
2021-08-13	10:06	8.40	084	22:20	8.50	080	04:13	1.55	16:29	1.85
2021-08-14	10:46	8.15	076	23:03	8.15	071	04:53	1.85	17:10	2.20
2021-08-15	11:32	7.80	066	23:54	7.70	060	05:36	2.30	17:57	2.60
2021-08-16	12:28	7.45	055	--:--	--.--	---	06:27	2.80	18:58	3.05
2021-08-17	01:00	7.30	051	13:43	7.20	049	07:34	3.20	20:17	3.25
2021-08-18	02:27	7.10	048	15:15	7.25	050	08:59	3.35	21:45	3.10
2021-08-19	04:01	7.25	054	16:36	7.65	060	10:24	3.10	23:03	2.65
2021-08-20	05:13	7.70	066	17:37	8.15	072	11:34	2.60	--:--	--.--
2021-08-21	06:10	8.10	078	18:28	8.60	083	00:05	2.05	12:31	2.10
2021-08-22	06:58	8.45	088	19:13	8.90	091	00:56	1.60	13:18	1.70
2021-08-23	07:40	8.65	093	19:53	9.05	094	01:42	1.30	14:01	1.45
2021-08-24	08:17	8.75	095	20:30	9.05	094	02:22	1.15	14:39	1.40
2021-08-25	08:51	8.65	092	21:04	8.90	089	02:59	1.25	15:14	1.50
2021-08-26	09:22	8.50	085	21:35	8.60	081	03:33	1.45	15:46	1.75
2021-08-27	09:51	8.20	076	22:05	8.20	071	04:04	1.85	16:16	2.15
2021-08-28	10:20	7.85	065	22:35	7.75	059	04:32	2.30	16:45	2.65
2021-08-29	10:50	7.45	052	23:09	7.25	046	05:01	2.80	17:16	3.15
2021-08-30	11:29	7.05	040	23:56	6.75	034	05:35	3.35	17:56	3.70
2021-08-31	12:26	6.65	030	--:--	--.--	---	06:20	3.85	18:57	4.10
