Site : Dunkerque (Nord)
latitude : 51.048050 - longitude : 2.366667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	06:34	5.35	060	18:50	5.20	055	00:58	0.90	13:19	1.35
2021-07-02	07:30	5.15	051	19:47	5.05	047	01:49	1.05	14:13	1.50
2021-07-03	08:34	5.00	044	20:53	4.95	043	02:45	1.25	15:13	1.55
2021-07-04	09:36	4.90	042	21:56	4.95	042	03:45	1.35	16:14	1.60
2021-07-05	10:34	4.95	043	22:53	5.00	046	04:45	1.35	17:14	1.50
2021-07-06	11:26	5.05	048	23:45	5.15	051	05:43	1.35	18:11	1.40
2021-07-07	12:15	5.20	054	--:--	--.--	---	06:35	1.30	18:59	1.25
2021-07-08	00:32	5.30	057	12:57	5.35	060	07:20	1.20	19:41	1.15
2021-07-09	01:12	5.40	063	13:35	5.45	066	07:59	1.15	20:20	1.00
2021-07-10	01:49	5.55	068	14:09	5.55	071	08:37	1.05	20:59	0.90
2021-07-11	02:24	5.65	072	14:44	5.65	074	09:16	1.00	21:38	0.80
2021-07-12	03:01	5.70	075	15:22	5.65	076	09:55	0.95	22:17	0.75
2021-07-13	03:41	5.75	076	16:01	5.65	076	10:34	1.00	22:56	0.70
2021-07-14	04:21	5.70	076	16:40	5.55	075	11:12	1.00	23:35	0.75
2021-07-15	05:02	5.60	073	17:18	5.45	071	11:52	1.10	--:--	--.--
2021-07-16	05:45	5.50	068	18:05	5.40	066	00:16	0.80	12:35	1.15
2021-07-17	06:36	5.40	063	18:58	5.30	060	01:02	0.90	13:23	1.25
2021-07-18	07:34	5.35	058	20:00	5.25	056	01:56	1.00	14:23	1.35
2021-07-19	08:39	5.25	055	21:08	5.25	055	03:02	1.05	15:37	1.40
2021-07-20	09:51	5.25	057	22:23	5.35	059	04:15	1.10	16:50	1.35
2021-07-21	11:06	5.35	063	23:33	5.50	067	05:26	1.05	18:00	1.20
2021-07-22	12:11	5.50	072	--:--	--.--	---	06:34	0.95	19:06	0.95
2021-07-23	00:34	5.75	077	13:06	5.70	081	07:35	0.80	20:01	0.75
2021-07-24	01:28	5.95	085	13:56	5.80	088	08:27	0.75	20:51	0.55
2021-07-25	02:17	6.05	091	14:41	5.90	092	09:14	0.70	21:37	0.45
2021-07-26	03:04	6.10	093	15:25	5.90	092	09:58	0.75	22:22	0.45
2021-07-27	03:50	6.00	091	16:06	5.85	089	10:40	0.80	23:04	0.50
2021-07-28	04:33	5.90	085	16:45	5.75	081	11:19	0.95	23:44	0.65
2021-07-29	05:13	5.70	077	17:23	5.60	072	11:57	1.05	--:--	--.--
2021-07-30	05:52	5.50	066	18:03	5.45	061	00:22	0.80	12:36	1.25
2021-07-31	06:34	5.25	055	18:48	5.20	050	01:01	1.05	13:18	1.40
