Site : Boucau-Bayonne (Pyrénées-Atlantiques)
latitude : 43.527218 - longitude : -1.514717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	00:27	3.00	027	13:13	3.10	027	06:33	2.00	19:38	1.90
2021-09-02	01:52	3.05	029	14:27	3.25	034	07:58	1.90	20:45	1.75
2021-09-03	02:59	3.20	039	15:20	3.45	046	08:58	1.70	21:33	1.50
2021-09-04	03:47	3.40	053	16:02	3.70	060	09:43	1.45	22:13	1.20
2021-09-05	04:27	3.65	067	16:39	3.95	073	10:22	1.20	22:50	0.95
2021-09-06	05:04	3.85	079	17:16	4.15	085	10:58	0.95	23:26	0.75
2021-09-07	05:40	4.05	090	17:52	4.30	094	11:34	0.80	--:--	--.--
2021-09-08	06:16	4.20	097	18:29	4.40	100	00:02	0.60	12:11	0.65
2021-09-09	06:53	4.25	101	19:08	4.40	100	00:38	0.50	12:49	0.60
2021-09-10	07:31	4.20	099	19:48	4.30	096	01:16	0.55	13:28	0.65
2021-09-11	08:11	4.10	092	20:31	4.10	087	01:56	0.65	14:10	0.75
2021-09-12	08:56	3.90	081	21:22	3.80	073	02:39	0.90	14:57	1.00
2021-09-13	09:50	3.65	066	22:27	3.50	058	03:28	1.20	15:53	1.30
2021-09-14	11:02	3.45	051	23:53	3.30	045	04:29	1.50	17:09	1.50
2021-09-15	12:33	3.40	042	--:--	--.--	---	05:52	1.70	18:46	1.55
2021-09-16	01:29	3.30	043	14:01	3.55	046	07:27	1.70	20:13	1.40
2021-09-17	02:47	3.45	052	15:08	3.75	058	08:41	1.50	21:16	1.20
2021-09-18	03:45	3.65	066	16:00	4.00	072	09:35	1.25	22:03	0.95
2021-09-19	04:29	3.85	079	16:42	4.20	084	10:19	1.00	22:43	0.80
2021-09-20	05:07	4.00	088	17:20	4.35	091	10:58	0.85	23:20	0.70
2021-09-21	05:41	4.10	093	17:54	4.40	094	11:34	0.75	23:55	0.70
2021-09-22	06:12	4.10	094	18:26	4.35	094	12:09	0.75	--:--	--.--
2021-09-23	06:41	4.05	092	18:57	4.20	090	00:29	0.75	12:43	0.80
2021-09-24	07:10	4.00	086	19:27	4.05	082	01:01	0.85	13:15	0.95
2021-09-25	07:40	3.85	078	19:59	3.85	072	01:32	1.05	13:48	1.15
2021-09-26	08:11	3.70	067	20:33	3.60	061	02:03	1.25	14:22	1.40
2021-09-27	08:46	3.50	054	21:13	3.35	048	02:37	1.50	15:01	1.60
2021-09-28	09:30	3.25	041	22:10	3.10	035	03:16	1.75	15:54	1.85
2021-09-29	10:40	3.10	030	23:41	2.95	026	04:13	1.95	17:19	2.00
2021-09-30	12:21	3.05	024	--:--	--.--	---	05:44	2.10	19:01	1.95
