Site : Saint-Malo (Ille-et-Vilaine)
latitude : 48.641167 - longitude : -2.027500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	00:22	10.45	060	12:47	9.85	055	07:17	3.30	19:33	3.90
2021-07-02	01:08	9.85	051	13:35	9.40	047	08:00	3.85	20:22	4.35
2021-07-03	02:03	9.35	044	14:34	9.10	043	08:51	4.20	21:22	4.55
2021-07-04	03:08	9.10	042	15:43	9.05	042	09:52	4.35	22:30	4.55
2021-07-05	04:17	9.15	043	16:49	9.30	046	10:58	4.30	23:34	4.25
2021-07-06	05:18	9.40	048	17:44	9.75	051	11:58	4.00	--:--	--.--
2021-07-07	06:10	9.75	054	18:31	10.20	057	00:30	3.90	12:51	3.65
2021-07-08	06:56	10.15	060	19:13	10.60	063	01:18	3.50	13:37	3.35
2021-07-09	07:38	10.45	066	19:52	10.90	068	02:02	3.15	14:20	3.05
2021-07-10	08:17	10.70	071	20:29	11.15	072	02:43	2.85	15:00	2.85
2021-07-11	08:55	10.90	074	21:06	11.35	075	03:23	2.65	15:39	2.65
2021-07-12	09:32	11.05	076	21:43	11.45	076	04:03	2.50	16:17	2.55
2021-07-13	10:10	11.10	076	22:22	11.40	076	04:42	2.45	16:56	2.55
2021-07-14	10:50	11.00	075	23:01	11.25	073	05:21	2.45	17:35	2.70
2021-07-15	11:30	10.75	071	23:43	10.95	068	06:00	2.60	18:15	2.95
2021-07-16	12:13	10.45	066	--:--	--.--	---	06:41	2.90	18:58	3.25
2021-07-17	00:29	10.55	063	13:01	10.10	060	07:26	3.20	19:48	3.60
2021-07-18	01:22	10.15	058	13:59	9.80	056	08:18	3.55	20:50	3.80
2021-07-19	02:28	9.90	055	15:11	9.75	055	09:25	3.75	22:05	3.80
2021-07-20	03:45	9.90	057	16:28	9.95	059	10:42	3.65	23:22	3.45
2021-07-21	05:02	10.15	063	17:41	10.45	067	11:58	3.30	--:--	--.--
2021-07-22	06:12	10.60	072	18:45	11.05	077	00:33	2.90	13:06	2.85
2021-07-23	07:15	11.10	081	19:41	11.60	085	01:38	2.35	14:08	2.40
2021-07-24	08:09	11.50	088	20:31	12.00	091	02:38	1.90	15:04	2.05
2021-07-25	08:58	11.80	092	21:16	12.20	093	03:31	1.60	15:53	1.85
2021-07-26	09:42	11.85	092	21:58	12.20	091	04:18	1.50	16:37	1.85
2021-07-27	10:22	11.70	089	22:37	11.95	085	05:00	1.60	17:15	2.05
2021-07-28	10:58	11.40	081	23:13	11.50	077	05:37	1.90	17:49	2.45
2021-07-29	11:32	10.90	072	23:47	10.85	066	06:09	2.40	18:20	2.95
2021-07-30	12:05	10.35	061	--:--	--.--	---	06:39	3.00	18:49	3.60
2021-07-31	00:21	10.20	055	12:40	9.75	050	07:09	3.65	19:21	4.15
