Site : Roscoff (Finistère)
latitude : 48.716667 - longitude : -3.966667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	11:33	7.40	058	23:55	7.55	053	05:30	2.50	17:55	3.05
2021-06-02	12:36	7.05	049	--:--	--.--	---	06:28	2.95	18:57	3.40
2021-06-03	01:01	7.25	047	13:46	6.90	045	07:34	3.20	20:07	3.50
2021-06-04	02:11	7.15	046	14:54	7.00	047	08:42	3.25	21:15	3.40
2021-06-05	03:15	7.25	049	15:51	7.25	052	09:45	3.10	22:13	3.15
2021-06-06	04:11	7.40	054	16:40	7.50	057	10:38	2.90	23:03	2.85
2021-06-07	04:58	7.60	060	17:22	7.75	063	11:24	2.65	23:46	2.60
2021-06-08	05:41	7.80	065	18:00	7.95	068	12:04	2.45	--:--	--.--
2021-06-09	06:19	7.95	069	18:35	8.10	071	00:25	2.40	12:41	2.30
2021-06-10	06:55	8.05	072	19:08	8.20	073	01:02	2.25	13:16	2.25
2021-06-11	07:30	8.05	073	19:41	8.25	073	01:36	2.15	13:50	2.20
2021-06-12	08:04	8.05	073	20:13	8.25	072	02:10	2.15	14:24	2.25
2021-06-13	08:38	7.95	071	20:49	8.15	069	02:45	2.20	14:58	2.35
2021-06-14	09:15	7.85	067	21:27	8.00	065	03:20	2.30	15:34	2.50
2021-06-15	09:56	7.65	063	22:09	7.80	060	03:59	2.45	16:14	2.75
2021-06-16	10:42	7.45	058	22:58	7.60	055	04:41	2.65	17:00	2.95
2021-06-17	11:35	7.25	053	23:55	7.40	052	05:30	2.85	17:54	3.15
2021-06-18	12:37	7.15	051	--:--	--.--	---	06:28	3.00	18:58	3.25
2021-06-19	00:59	7.35	051	13:45	7.20	053	07:35	3.00	20:08	3.15
2021-06-20	02:09	7.45	056	14:55	7.45	059	08:44	2.80	21:17	2.80
2021-06-21	03:19	7.70	063	15:59	7.85	068	09:51	2.50	22:22	2.40
2021-06-22	04:23	8.05	073	16:58	8.20	078	10:54	2.10	23:22	1.95
2021-06-23	05:23	8.35	082	17:53	8.55	086	11:51	1.80	--:--	--.--
2021-06-24	06:20	8.60	090	18:44	8.80	092	00:19	1.55	12:46	1.55
2021-06-25	07:13	8.70	094	19:34	8.95	095	01:12	1.30	13:37	1.45
2021-06-26	08:05	8.70	094	20:22	8.95	093	02:03	1.15	14:26	1.45
2021-06-27	08:53	8.60	091	21:09	8.85	088	02:52	1.20	15:13	1.60
2021-06-28	09:39	8.35	084	21:55	8.55	080	03:39	1.40	15:59	1.90
2021-06-29	10:23	8.05	075	22:39	8.20	070	04:25	1.75	16:44	2.30
2021-06-30	11:07	7.65	065	23:25	7.80	060	05:10	2.20	17:29	2.70
