Site : Fort-de-France [Martinique] (Martinique)
latitude : 14.601433 - longitude : -61.063301
Système horaire : HEURES LOCALES -04h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	21:44	0.85	000	--:--	--.--	---	04:55	0.65	--:--	--.--
2021-08-02	22:14	0.85	000	--:--	--.--	---	06:05	0.60	--:--	--.--
2021-08-03	22:46	0.90	000	--:--	--.--	---	07:05	0.60	--:--	--.--
2021-08-04	23:22	0.90	000	--:--	--.--	---	07:55	0.55	--:--	--.--
2021-08-05	--:--	--.--	---	--:--	--.--	---	08:38	0.55	--:--	--.--
2021-08-06	00:02	0.90	000	--:--	--.--	---	09:18	0.55	--:--	--.--
2021-08-07	00:45	0.90	000	--:--	--.--	---	09:55	0.55	--:--	--.--
2021-08-08	01:31	0.90	000	--:--	--.--	---	10:29	0.55	--:--	--.--
2021-08-09	02:19	0.90	000	18:47	0.80	000	10:59	0.60	20:31	0.80
2021-08-10	03:09	0.90	000	18:50	0.80	000	11:23	0.60	22:10	0.80
2021-08-11	04:04	0.90	000	18:59	0.85	000	11:44	0.65	23:37	0.75
2021-08-12	05:05	0.85	000	19:11	0.85	000	12:03	0.65	--:--	--.--
2021-08-13	06:18	0.80	000	19:27	0.90	000	00:51	0.70	12:23	0.70
2021-08-14	07:49	0.80	000	19:54	0.90	000	01:59	0.70	12:44	0.70
2021-08-15	09:45	0.75	000	20:31	0.90	000	03:07	0.65	12:57	0.75
2021-08-16	21:17	0.90	000	--:--	--.--	---	04:20	0.60	--:--	--.--
2021-08-17	22:09	0.95	000	--:--	--.--	---	05:38	0.60	--:--	--.--
2021-08-18	23:03	0.95	000	--:--	--.--	---	06:53	0.55	--:--	--.--
2021-08-19	23:58	0.95	000	--:--	--.--	---	07:54	0.55	--:--	--.--
2021-08-20	--:--	--.--	---	--:--	--.--	---	08:44	0.55	--:--	--.--
2021-08-21	00:53	0.95	000	17:24	0.80	000	09:25	0.55	19:27	0.80
2021-08-22	01:50	0.95	000	17:41	0.80	000	10:01	0.55	20:51	0.80
2021-08-23	02:50	0.90	000	17:56	0.80	000	10:33	0.60	22:07	0.75
2021-08-24	03:53	0.90	000	18:10	0.85	000	11:05	0.65	23:15	0.75
2021-08-25	04:56	0.85	000	18:25	0.85	000	11:35	0.65	--:--	--.--
2021-08-26	05:59	0.85	000	18:45	0.85	000	00:16	0.70	12:06	0.70
2021-08-27	07:03	0.80	000	19:10	0.85	000	01:14	0.70	12:34	0.70
2021-08-28	08:14	0.75	000	19:39	0.85	000	02:12	0.65	12:56	0.75
2021-08-29	20:11	0.85	000	--:--	--.--	---	03:12	0.65	--:--	--.--
2021-08-30	20:46	0.85	000	--:--	--.--	---	04:15	0.60	--:--	--.--
2021-08-31	21:24	0.85	000	--:--	--.--	---	05:20	0.60	--:--	--.--
