Site : Saint-Malo (Ille-et-Vilaine)
latitude : 48.641167 - longitude : -2.027500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	12:25	9.95	058	--:--	--.--	---	06:54	3.10	19:13	3.85
2021-06-02	00:49	9.95	053	13:24	9.40	049	07:47	3.70	20:12	4.35
2021-06-03	01:54	9.45	047	14:34	9.10	045	08:48	4.10	21:22	4.50
2021-06-04	03:08	9.30	046	15:48	9.20	047	09:56	4.15	22:32	4.30
2021-06-05	04:17	9.45	049	16:49	9.55	052	10:59	3.90	23:32	3.95
2021-06-06	05:13	9.80	054	17:39	10.00	057	11:55	3.60	--:--	--.--
2021-06-07	06:01	10.15	060	18:23	10.40	063	00:23	3.55	12:44	3.30
2021-06-08	06:43	10.50	065	19:02	10.75	068	01:09	3.20	13:28	3.00
2021-06-09	07:23	10.70	069	19:38	11.00	071	01:50	2.95	14:07	2.80
2021-06-10	07:59	10.85	072	20:11	11.15	073	02:28	2.75	14:43	2.70
2021-06-11	08:33	10.90	073	20:44	11.25	073	03:03	2.65	15:18	2.65
2021-06-12	09:07	10.90	073	21:17	11.25	072	03:38	2.60	15:51	2.70
2021-06-13	09:41	10.80	071	21:51	11.10	069	04:11	2.70	16:25	2.85
2021-06-14	10:17	10.65	067	22:28	10.85	065	04:46	2.80	16:59	3.05
2021-06-15	10:57	10.35	063	23:09	10.50	060	05:23	3.05	17:38	3.35
2021-06-16	11:40	10.00	058	23:55	10.10	055	06:03	3.35	18:21	3.70
2021-06-17	12:31	9.65	053	--:--	--.--	---	06:50	3.65	19:13	4.00
2021-06-18	00:51	9.80	052	13:33	9.45	051	07:46	3.80	20:16	4.10
2021-06-19	01:57	9.70	051	14:43	9.50	053	08:53	3.85	21:29	3.95
2021-06-20	03:09	9.85	056	15:54	9.85	059	10:06	3.60	22:42	3.55
2021-06-21	04:19	10.25	063	17:00	10.40	068	11:17	3.15	23:50	2.95
2021-06-22	05:25	10.75	073	18:00	11.05	078	12:23	2.65	--:--	--.--
2021-06-23	06:25	11.25	082	18:56	11.60	086	00:53	2.40	13:25	2.20
2021-06-24	07:22	11.65	090	19:49	12.00	092	01:53	1.90	14:22	1.90
2021-06-25	08:16	11.90	094	20:39	12.20	095	02:49	1.60	15:15	1.75
2021-06-26	09:07	11.95	094	21:27	12.20	093	03:41	1.45	16:03	1.75
2021-06-27	09:54	11.80	091	22:12	12.00	088	04:29	1.50	16:48	1.95
2021-06-28	10:39	11.45	084	22:56	11.60	080	05:14	1.75	17:31	2.35
2021-06-29	11:22	11.00	075	23:39	11.05	070	05:56	2.15	18:11	2.85
2021-06-30	12:03	10.45	065	--:--	--.--	---	06:37	2.75	18:51	3.40
