Site : Audierne Quai Pelletan (Finistère)
latitude : 48.021549 - longitude : -4.537580
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	11:15	3.85	040	23:48	3.90	036	05:19	1.95	17:53	2.15
2021-08-02	12:26	3.75	034	--:--	--.--	---	06:18	2.15	19:01	2.25
2021-08-03	01:00	3.80	033	13:49	3.80	035	07:27	2.20	20:15	2.20
2021-08-04	02:17	3.85	037	14:56	4.00	041	08:39	2.10	21:19	2.05
2021-08-05	03:20	4.05	045	15:45	4.25	050	09:37	1.95	22:09	1.80
2021-08-06	04:08	4.20	055	16:26	4.45	060	10:23	1.75	22:52	1.60
2021-08-07	04:50	4.40	064	17:03	4.70	069	11:02	1.55	23:31	1.40
2021-08-08	05:27	4.60	073	17:39	4.85	077	11:40	1.35	--:--	--.--
2021-08-09	06:03	4.75	081	18:14	5.00	084	00:09	1.20	12:18	1.20
2021-08-10	06:39	4.85	086	18:50	5.10	088	00:46	1.05	12:55	1.05
2021-08-11	07:15	4.90	089	19:28	5.10	089	01:23	0.95	13:33	1.00
2021-08-12	07:53	4.90	088	20:08	5.05	086	02:00	0.90	14:12	1.00
2021-08-13	08:34	4.80	084	20:51	4.90	080	02:39	1.00	14:54	1.10
2021-08-14	09:18	4.60	076	21:38	4.65	071	03:21	1.15	15:39	1.30
2021-08-15	10:09	4.40	066	22:35	4.40	060	04:07	1.40	16:32	1.55
2021-08-16	11:13	4.20	055	23:47	4.15	051	05:04	1.70	17:39	1.80
2021-08-17	12:36	4.10	049	--:--	--.--	---	06:18	1.90	19:04	1.85
2021-08-18	01:15	4.10	048	14:02	4.25	050	07:44	1.90	20:26	1.75
2021-08-19	02:40	4.20	054	15:13	4.50	060	09:00	1.75	21:36	1.45
2021-08-20	03:47	4.45	066	16:09	4.85	072	10:03	1.45	22:34	1.15
2021-08-21	04:39	4.75	078	16:57	5.10	083	10:57	1.20	23:25	0.90
2021-08-22	05:25	4.95	088	17:40	5.25	091	11:44	1.00	--:--	--.--
2021-08-23	06:05	5.05	093	18:19	5.35	094	00:10	0.75	12:27	0.85
2021-08-24	06:42	5.05	095	18:56	5.30	094	00:51	0.70	13:05	0.85
2021-08-25	07:15	5.00	092	19:30	5.15	089	01:26	0.80	13:39	0.95
2021-08-26	07:47	4.85	085	20:04	4.95	081	01:59	0.95	14:12	1.10
2021-08-27	08:18	4.65	076	20:37	4.70	071	02:31	1.15	14:45	1.30
2021-08-28	08:49	4.40	065	21:11	4.40	059	03:04	1.40	15:20	1.60
2021-08-29	09:24	4.15	052	21:51	4.10	046	03:38	1.65	15:59	1.90
2021-08-30	10:07	3.90	040	22:44	3.80	034	04:18	1.95	16:50	2.20
2021-08-31	11:13	3.70	030	--:--	--.--	---	05:12	2.25	18:05	2.40
