Site : Dunkerque (Nord)
latitude : 51.048050 - longitude : 2.366667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	06:03	5.50	064	18:29	5.20	058	00:27	0.85	12:56	1.25
2021-06-02	07:06	5.25	053	19:33	5.00	049	01:25	1.05	13:59	1.45
2021-06-03	08:21	5.05	047	20:48	4.90	045	02:31	1.20	15:07	1.55
2021-06-04	09:32	5.00	046	21:53	4.95	047	03:40	1.25	16:13	1.50
2021-06-05	10:29	5.10	049	22:47	5.10	052	04:44	1.20	17:13	1.40
2021-06-06	11:19	5.25	054	23:34	5.25	057	05:42	1.10	18:05	1.25
2021-06-07	12:03	5.35	060	--:--	--.--	---	06:30	1.05	18:49	1.15
2021-06-08	00:17	5.40	063	12:43	5.45	065	07:10	1.00	19:27	1.05
2021-06-09	00:56	5.50	068	13:20	5.50	069	07:46	1.00	20:02	0.95
2021-06-10	01:32	5.55	071	13:53	5.55	072	08:20	0.95	20:38	0.90
2021-06-11	02:04	5.60	073	14:24	5.60	073	08:55	0.95	21:15	0.85
2021-06-12	02:37	5.65	073	14:57	5.60	073	09:32	0.95	21:52	0.85
2021-06-13	03:14	5.65	072	15:35	5.55	071	10:08	1.00	22:28	0.85
2021-06-14	03:53	5.60	069	16:16	5.45	067	10:44	1.10	23:06	0.95
2021-06-15	04:35	5.50	065	16:58	5.30	063	11:23	1.20	23:46	1.00
2021-06-16	05:20	5.35	060	17:44	5.15	058	12:06	1.30	--:--	--.--
2021-06-17	06:11	5.25	055	18:37	5.05	053	00:32	1.10	12:55	1.40
2021-06-18	07:09	5.15	052	19:36	5.00	051	01:25	1.15	13:53	1.45
2021-06-19	08:10	5.15	051	20:38	5.10	053	02:27	1.15	15:01	1.45
2021-06-20	09:16	5.25	056	21:44	5.25	059	03:38	1.10	16:14	1.35
2021-06-21	10:21	5.40	063	22:46	5.45	068	04:47	0.95	17:20	1.15
2021-06-22	11:21	5.60	073	23:43	5.65	078	05:50	0.80	18:20	1.00
2021-06-23	12:15	5.75	082	--:--	--.--	---	06:48	0.70	19:16	0.85
2021-06-24	00:35	5.85	086	13:07	5.85	090	07:42	0.60	20:08	0.65
2021-06-25	01:27	6.00	092	13:58	5.90	094	08:33	0.60	20:58	0.55
2021-06-26	02:20	6.10	095	14:49	5.90	094	09:23	0.60	21:47	0.45
2021-06-27	03:13	6.10	093	15:40	5.85	091	10:11	0.65	22:35	0.45
2021-06-28	04:05	6.00	088	16:28	5.75	084	10:58	0.80	23:23	0.55
2021-06-29	04:55	5.85	080	17:14	5.60	075	11:44	1.00	--:--	--.--
2021-06-30	05:44	5.60	070	18:00	5.40	065	00:10	0.70	12:31	1.15
