Site : Boucau-Bayonne (Pyrénées-Atlantiques)
latitude : 43.527218 - longitude : -1.514717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	10:22	3.40	058	22:46	3.60	053	03:50	1.25	16:13	1.55
2021-06-02	11:33	3.25	049	23:53	3.50	047	04:54	1.45	17:21	1.70
2021-06-03	12:43	3.20	045	--:--	--.--	---	06:02	1.55	18:33	1.70
2021-06-04	00:58	3.45	046	13:45	3.30	047	07:10	1.60	19:39	1.65
2021-06-05	01:58	3.45	049	14:36	3.40	052	08:09	1.55	20:33	1.55
2021-06-06	02:49	3.55	054	15:19	3.50	057	08:56	1.45	21:19	1.45
2021-06-07	03:33	3.60	060	15:57	3.65	063	09:37	1.40	21:59	1.35
2021-06-08	04:13	3.65	065	16:33	3.75	068	10:13	1.30	22:36	1.30
2021-06-09	04:51	3.75	069	17:07	3.85	071	10:47	1.25	23:12	1.20
2021-06-10	05:27	3.75	072	17:41	3.85	073	11:20	1.25	23:46	1.20
2021-06-11	06:01	3.75	073	18:13	3.90	073	11:53	1.25	--:--	--.--
2021-06-12	06:35	3.75	073	18:46	3.85	072	00:20	1.15	12:26	1.25
2021-06-13	07:10	3.70	071	19:21	3.85	069	00:55	1.20	13:01	1.30
2021-06-14	07:48	3.60	067	20:01	3.75	065	01:33	1.20	13:39	1.35
2021-06-15	08:31	3.55	063	20:47	3.70	060	02:14	1.30	14:23	1.45
2021-06-16	09:22	3.45	058	21:40	3.60	055	03:02	1.35	15:14	1.50
2021-06-17	10:23	3.40	053	22:42	3.55	052	03:56	1.40	16:13	1.60
2021-06-18	11:31	3.35	051	23:50	3.55	051	04:59	1.45	17:19	1.60
2021-06-19	12:38	3.45	053	--:--	--.--	---	06:05	1.45	18:26	1.55
2021-06-20	00:57	3.60	056	13:40	3.60	059	07:09	1.35	19:29	1.40
2021-06-21	02:01	3.75	063	14:36	3.75	068	08:09	1.20	20:28	1.20
2021-06-22	03:01	3.90	073	15:29	3.95	078	09:03	1.05	21:24	1.00
2021-06-23	03:57	4.00	082	16:20	4.15	086	09:54	0.90	22:18	0.80
2021-06-24	04:50	4.10	090	17:10	4.25	092	10:44	0.80	23:11	0.65
2021-06-25	05:41	4.15	094	18:00	4.35	095	11:33	0.75	--:--	--.--
2021-06-26	06:31	4.15	094	18:49	4.35	093	00:03	0.60	12:22	0.80
2021-06-27	07:19	4.05	091	19:38	4.25	088	00:54	0.60	13:11	0.90
2021-06-28	08:07	3.85	084	20:26	4.10	080	01:45	0.75	14:00	1.05
2021-06-29	08:54	3.65	075	21:15	3.90	070	02:34	0.90	14:49	1.20
2021-06-30	09:43	3.45	065	22:06	3.70	060	03:23	1.10	15:40	1.40
