Site : Roscoff (Finistère)
latitude : 48.716667 - longitude : -3.966667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	01:10	6.35	027	13:54	6.40	027	07:36	4.20	20:41	4.20
2021-09-02	02:56	6.35	029	15:36	6.65	034	09:22	4.15	22:13	3.85
2021-09-03	04:20	6.75	039	16:42	7.15	046	10:38	3.65	23:12	3.25
2021-09-04	05:14	7.30	053	17:29	7.70	060	11:31	3.05	23:58	2.60
2021-09-05	05:57	7.80	067	18:10	8.25	073	12:15	2.50	--:--	--.--
2021-09-06	06:37	8.25	079	18:49	8.65	085	00:39	2.05	12:56	1.95
2021-09-07	07:15	8.60	090	19:26	9.00	094	01:19	1.55	13:35	1.55
2021-09-08	07:52	8.85	097	20:03	9.20	100	01:57	1.20	14:13	1.25
2021-09-09	08:29	9.00	101	20:41	9.25	100	02:36	1.00	14:51	1.10
2021-09-10	09:05	8.95	099	21:18	9.10	096	03:13	1.00	15:29	1.20
2021-09-11	09:42	8.75	092	21:57	8.75	087	03:51	1.25	16:07	1.50
2021-09-12	10:20	8.40	081	22:40	8.25	073	04:30	1.70	16:48	2.00
2021-09-13	11:05	7.95	066	23:32	7.65	058	05:12	2.30	17:34	2.60
2021-09-14	12:04	7.40	051	--:--	--.--	---	06:03	3.00	18:37	3.20
2021-09-15	00:45	7.05	045	13:28	7.05	042	07:15	3.55	20:06	3.50
2021-09-16	02:27	6.85	043	15:12	7.15	046	08:53	3.70	21:46	3.25
2021-09-17	04:03	7.15	052	16:31	7.60	058	10:24	3.25	23:01	2.65
2021-09-18	05:09	7.70	066	17:28	8.20	072	11:28	2.60	23:55	2.05
2021-09-19	05:59	8.20	079	18:14	8.65	084	12:18	2.05	--:--	--.--
2021-09-20	06:40	8.55	088	18:53	8.95	091	00:41	1.60	13:01	1.65
2021-09-21	07:16	8.75	093	19:28	9.05	094	01:21	1.30	13:38	1.45
2021-09-22	07:48	8.80	094	20:01	9.05	094	01:57	1.25	14:13	1.40
2021-09-23	08:18	8.80	092	20:31	8.90	090	02:29	1.30	14:44	1.50
2021-09-24	08:46	8.65	086	21:00	8.65	082	02:59	1.50	15:12	1.75
2021-09-25	09:13	8.40	078	21:27	8.25	072	03:27	1.85	15:40	2.10
2021-09-26	09:39	8.05	067	21:54	7.80	061	03:53	2.30	16:06	2.55
2021-09-27	10:06	7.65	054	22:25	7.30	048	04:20	2.80	16:34	3.10
2021-09-28	10:40	7.20	041	23:07	6.80	035	04:50	3.35	17:09	3.60
2021-09-29	11:31	6.75	030	--:--	--.--	---	05:30	3.90	18:01	4.10
2021-09-30	00:20	6.35	026	12:59	6.40	024	06:36	4.35	19:43	4.35
