Site : Dunkerque (Nord)
latitude : 51.048050 - longitude : 2.366667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	07:23	5.00	045	19:43	4.95	040	01:46	1.25	14:10	1.60
2021-08-02	08:26	4.80	036	20:53	4.75	034	02:42	1.50	15:14	1.75
2021-08-03	09:39	4.65	033	22:08	4.75	035	03:47	1.65	16:22	1.80
2021-08-04	10:48	4.75	037	23:14	4.90	041	04:56	1.70	17:32	1.70
2021-08-05	11:48	4.95	045	--:--	--.--	---	06:04	1.60	18:35	1.50
2021-08-06	00:10	5.10	050	12:37	5.20	055	07:00	1.40	19:24	1.25
2021-08-07	00:55	5.35	060	13:17	5.45	064	07:43	1.25	20:04	1.00
2021-08-08	01:33	5.55	069	13:53	5.60	073	08:22	1.10	20:42	0.80
2021-08-09	02:09	5.75	077	14:27	5.75	081	09:00	0.95	21:21	0.65
2021-08-10	02:44	5.85	084	15:02	5.80	086	09:38	0.85	22:00	0.55
2021-08-11	03:20	5.95	088	15:37	5.85	089	10:17	0.80	22:39	0.50
2021-08-12	03:57	5.90	089	16:12	5.80	088	10:54	0.85	23:17	0.55
2021-08-13	04:35	5.85	086	16:49	5.75	084	11:32	0.90	23:56	0.65
2021-08-14	05:15	5.75	080	17:33	5.65	076	12:11	1.00	--:--	--.--
2021-08-15	06:04	5.60	071	18:26	5.55	066	00:37	0.75	12:55	1.20
2021-08-16	07:04	5.35	060	19:30	5.35	055	01:27	1.00	13:51	1.40
2021-08-17	08:13	5.15	051	20:47	5.15	049	02:33	1.20	15:08	1.55
2021-08-18	09:37	5.00	048	22:18	5.15	050	03:52	1.35	16:31	1.55
2021-08-19	11:04	5.10	054	23:36	5.40	060	05:15	1.35	17:54	1.30
2021-08-20	12:11	5.40	066	--:--	--.--	---	06:31	1.15	19:02	1.00
2021-08-21	00:35	5.70	072	13:04	5.65	078	07:30	0.95	19:54	0.70
2021-08-22	01:25	5.95	083	13:47	5.80	088	08:17	0.85	20:40	0.50
2021-08-23	02:08	6.05	091	14:25	5.90	093	08:59	0.80	21:22	0.45
2021-08-24	02:48	6.10	094	15:01	5.95	095	09:38	0.80	22:01	0.45
2021-08-25	03:26	6.05	094	15:37	5.95	092	10:15	0.80	22:37	0.50
2021-08-26	04:03	5.95	089	16:11	5.85	085	10:49	0.90	23:11	0.65
2021-08-27	04:36	5.80	081	16:44	5.75	076	11:22	1.00	23:44	0.85
2021-08-28	05:09	5.60	071	17:18	5.60	065	11:54	1.15	--:--	--.--
2021-08-29	05:43	5.35	059	17:57	5.35	052	00:16	1.05	12:29	1.35
2021-08-30	06:25	5.05	046	18:46	5.00	040	00:51	1.35	13:09	1.60
2021-08-31	07:21	4.75	034	19:53	4.70	030	01:37	1.65	14:07	1.90
