Site : Boucau-Bayonne (Pyrénées-Atlantiques)
latitude : 43.527218 - longitude : -1.514717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	10:36	3.30	055	23:00	3.50	051	04:13	1.35	16:35	1.55
2021-07-02	11:37	3.20	047	23:59	3.40	044	05:06	1.50	17:36	1.65
2021-07-03	12:42	3.20	043	--:--	--.--	---	06:06	1.65	18:42	1.75
2021-07-04	01:01	3.30	042	13:44	3.25	042	07:10	1.70	19:47	1.70
2021-07-05	02:01	3.30	043	14:38	3.35	046	08:11	1.65	20:43	1.65
2021-07-06	02:57	3.35	048	15:25	3.45	051	09:02	1.60	21:31	1.55
2021-07-07	03:45	3.45	054	16:07	3.60	057	09:45	1.50	22:14	1.40
2021-07-08	04:28	3.55	060	16:45	3.70	063	10:24	1.40	22:53	1.30
2021-07-09	05:08	3.65	066	17:22	3.80	068	11:01	1.30	23:30	1.20
2021-07-10	05:45	3.70	071	17:57	3.90	072	11:37	1.20	--:--	--.--
2021-07-11	06:21	3.75	074	18:33	3.95	075	00:07	1.10	12:13	1.15
2021-07-12	06:57	3.75	076	19:09	3.95	076	00:44	1.05	12:49	1.10
2021-07-13	07:35	3.75	076	19:48	3.95	076	01:22	1.00	13:28	1.10
2021-07-14	08:16	3.75	075	20:31	3.90	073	02:02	1.00	14:09	1.15
2021-07-15	09:01	3.65	071	21:18	3.80	068	02:45	1.05	14:55	1.25
2021-07-16	09:52	3.60	066	22:12	3.70	063	03:32	1.15	15:46	1.30
2021-07-17	10:52	3.50	060	23:15	3.60	058	04:24	1.25	16:43	1.40
2021-07-18	11:58	3.50	056	--:--	--.--	---	05:25	1.35	17:49	1.45
2021-07-19	00:25	3.55	055	13:07	3.55	055	06:32	1.40	19:00	1.40
2021-07-20	01:37	3.60	057	14:13	3.65	059	07:42	1.35	20:10	1.30
2021-07-21	02:46	3.70	063	15:15	3.80	067	08:47	1.25	21:15	1.10
2021-07-22	03:50	3.80	072	16:12	4.00	077	09:44	1.10	22:13	0.90
2021-07-23	04:45	3.95	081	17:04	4.20	085	10:37	0.95	23:06	0.75
2021-07-24	05:35	4.05	088	17:52	4.30	091	11:26	0.85	23:56	0.65
2021-07-25	06:21	4.05	092	18:37	4.35	093	12:12	0.80	--:--	--.--
2021-07-26	07:03	4.00	092	19:19	4.30	091	00:42	0.60	12:56	0.80
2021-07-27	07:42	3.90	089	20:00	4.20	085	01:26	0.70	13:39	0.90
2021-07-28	08:20	3.75	081	20:40	4.00	077	02:08	0.85	14:20	1.05
2021-07-29	08:58	3.60	072	21:20	3.80	066	02:48	1.05	15:02	1.25
2021-07-30	09:39	3.45	061	22:05	3.55	055	03:29	1.25	15:47	1.45
2021-07-31	10:28	3.25	050	22:57	3.35	045	04:12	1.50	16:39	1.65
