Site : Audierne Quai Pelletan (Finistère)
latitude : 48.021549 - longitude : -4.537580
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	10:12	4.25	058	22:38	4.45	053	04:09	1.50	16:35	1.85
2021-06-02	11:19	4.05	049	23:43	4.25	047	05:11	1.70	17:41	1.95
2021-06-03	12:30	3.95	045	--:--	--.--	---	06:17	1.80	18:47	1.95
2021-06-04	00:49	4.20	046	13:37	4.05	047	07:21	1.85	19:48	1.90
2021-06-05	01:52	4.25	049	14:31	4.15	052	08:19	1.80	20:43	1.80
2021-06-06	02:46	4.35	054	15:16	4.35	057	09:09	1.70	21:30	1.70
2021-06-07	03:31	4.50	060	15:55	4.50	063	09:51	1.60	22:13	1.60
2021-06-08	04:11	4.60	065	16:30	4.65	068	10:30	1.50	22:51	1.50
2021-06-09	04:48	4.70	069	17:04	4.75	071	11:05	1.45	23:28	1.45
2021-06-10	05:24	4.75	072	17:38	4.85	073	11:39	1.40	--:--	--.--
2021-06-11	05:59	4.75	073	18:11	4.85	073	00:05	1.40	12:14	1.40
2021-06-12	06:33	4.70	073	18:45	4.80	072	00:40	1.40	12:48	1.45
2021-06-13	07:08	4.65	071	19:20	4.75	069	01:15	1.45	13:22	1.55
2021-06-14	07:45	4.50	067	19:58	4.60	065	01:51	1.50	13:59	1.60
2021-06-15	08:26	4.35	063	20:42	4.50	060	02:30	1.60	14:41	1.70
2021-06-16	09:14	4.25	058	21:33	4.35	055	03:14	1.65	15:30	1.80
2021-06-17	10:11	4.10	053	22:34	4.30	052	04:05	1.75	16:27	1.90
2021-06-18	11:20	4.10	051	23:42	4.30	051	05:06	1.80	17:33	1.90
2021-06-19	12:32	4.15	053	--:--	--.--	---	06:13	1.75	18:42	1.80
2021-06-20	00:52	4.35	056	13:38	4.35	059	07:23	1.65	19:51	1.65
2021-06-21	01:59	4.55	063	14:38	4.65	068	08:29	1.50	20:55	1.40
2021-06-22	03:00	4.75	073	15:33	4.90	078	09:29	1.30	21:55	1.20
2021-06-23	03:57	4.95	082	16:24	5.15	086	10:25	1.10	22:51	1.00
2021-06-24	04:51	5.10	090	17:14	5.30	092	11:17	1.00	23:44	0.85
2021-06-25	05:42	5.20	094	18:03	5.40	095	12:07	0.95	--:--	--.--
2021-06-26	06:31	5.15	094	18:51	5.35	093	00:35	0.80	12:55	1.00
2021-06-27	07:19	5.05	091	19:39	5.25	088	01:24	0.85	13:41	1.10
2021-06-28	08:06	4.85	084	20:26	5.05	080	02:11	0.95	14:27	1.25
2021-06-29	08:53	4.60	075	21:14	4.80	070	02:57	1.10	15:14	1.45
2021-06-30	09:41	4.35	065	22:03	4.55	060	03:44	1.35	16:03	1.65
