Site : Saint-Malo (Ille-et-Vilaine)
latitude : 48.641167 - longitude : -2.027500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	01:00	9.50	045	13:23	9.20	040	07:45	4.25	20:05	4.70
2021-08-02	01:53	8.90	036	14:26	8.75	034	08:36	4.75	21:13	5.05
2021-08-03	03:12	8.55	033	15:52	8.70	035	09:53	4.95	22:44	5.00
2021-08-04	04:38	8.70	037	17:09	9.10	041	11:16	4.75	23:58	4.50
2021-08-05	05:44	9.20	045	18:06	9.70	050	12:21	4.25	--:--	--.--
2021-08-06	06:36	9.80	055	18:53	10.30	060	00:54	3.90	13:14	3.70
2021-08-07	07:21	10.35	064	19:35	10.90	069	01:43	3.30	14:01	3.15
2021-08-08	08:03	10.85	073	20:15	11.35	077	02:28	2.80	14:46	2.70
2021-08-09	08:42	11.25	081	20:53	11.75	084	03:12	2.40	15:28	2.35
2021-08-10	09:20	11.55	086	21:31	12.05	088	03:54	2.05	16:09	2.05
2021-08-11	09:57	11.75	089	22:09	12.15	089	04:34	1.80	16:48	1.90
2021-08-12	10:34	11.75	088	22:46	12.00	086	05:12	1.75	17:25	1.95
2021-08-13	11:11	11.50	084	23:24	11.60	080	05:48	1.95	18:01	2.25
2021-08-14	11:49	11.10	076	--:--	--.--	---	06:24	2.35	18:38	2.75
2021-08-15	00:04	11.05	071	12:30	10.50	066	07:01	2.90	19:21	3.35
2021-08-16	00:52	10.35	060	13:22	9.90	055	07:47	3.55	20:18	3.90
2021-08-17	01:55	9.70	051	14:37	9.45	049	08:50	4.10	21:38	4.20
2021-08-18	03:23	9.35	048	16:12	9.45	050	10:18	4.30	23:08	3.95
2021-08-19	04:57	9.60	054	17:37	10.05	060	11:46	3.90	--:--	--.--
2021-08-20	06:12	10.25	066	18:41	10.85	072	00:26	3.30	13:01	3.25
2021-08-21	07:11	10.95	078	19:33	11.60	083	01:33	2.55	14:02	2.60
2021-08-22	08:00	11.55	088	20:19	12.10	091	02:30	1.95	14:54	2.05
2021-08-23	08:43	11.90	093	21:00	12.40	094	03:19	1.55	15:39	1.75
2021-08-24	09:22	12.05	095	21:37	12.40	094	04:01	1.40	16:18	1.70
2021-08-25	09:56	12.00	092	22:11	12.20	089	04:37	1.45	16:51	1.85
2021-08-26	10:28	11.75	085	22:41	11.75	081	05:08	1.75	17:19	2.20
2021-08-27	10:56	11.30	076	23:09	11.15	071	05:34	2.25	17:43	2.70
2021-08-28	11:23	10.70	065	23:36	10.45	059	05:57	2.85	18:04	3.35
2021-08-29	11:49	10.05	052	--:--	--.--	---	06:19	3.55	18:27	4.00
2021-08-30	00:04	9.65	046	12:20	9.35	040	06:46	4.25	19:00	4.65
2021-08-31	00:42	8.85	034	13:09	8.65	030	07:27	4.90	19:54	5.25
