Site : Brest (Finistère)
latitude : 48.382500 - longitude : -4.494717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	00:25	4.95	027	13:09	5.00	027	06:49	3.30	19:46	3.25
2021-09-02	02:01	5.00	029	14:36	5.20	034	08:20	3.20	21:08	2.95
2021-09-03	03:16	5.30	039	15:38	5.60	046	09:29	2.85	22:05	2.55
2021-09-04	04:08	5.70	053	16:24	6.05	060	10:19	2.40	22:49	2.05
2021-09-05	04:50	6.15	067	17:05	6.50	073	11:02	2.00	23:29	1.65
2021-09-06	05:28	6.55	079	17:43	6.85	085	11:42	1.60	--:--	--.--
2021-09-07	06:06	6.85	090	18:21	7.15	094	00:07	1.30	12:20	1.30
2021-09-08	06:42	7.05	097	18:58	7.30	100	00:44	1.05	12:58	1.10
2021-09-09	07:19	7.15	101	19:35	7.35	100	01:22	0.90	13:36	1.00
2021-09-10	07:56	7.10	099	20:14	7.20	096	02:00	0.95	14:16	1.05
2021-09-11	08:35	6.90	092	20:54	6.90	087	02:39	1.15	14:58	1.30
2021-09-12	09:18	6.60	081	21:39	6.45	073	03:21	1.50	15:43	1.65
2021-09-13	10:07	6.15	066	22:34	5.95	058	04:08	1.95	16:35	2.10
2021-09-14	11:11	5.75	051	23:48	5.50	045	05:05	2.45	17:40	2.50
2021-09-15	12:36	5.55	042	--:--	--.--	---	06:19	2.80	19:05	2.70
2021-09-16	01:29	5.35	043	14:12	5.70	046	07:53	2.85	20:38	2.50
2021-09-17	03:00	5.65	052	15:25	6.10	058	09:16	2.50	21:49	2.10
2021-09-18	04:01	6.10	066	16:20	6.55	072	10:16	2.05	22:43	1.65
2021-09-19	04:49	6.45	079	17:06	6.90	084	11:04	1.65	23:28	1.30
2021-09-20	05:30	6.75	088	17:46	7.10	091	11:46	1.35	--:--	--.--
2021-09-21	06:06	6.90	093	18:22	7.20	094	00:07	1.15	12:24	1.25
2021-09-22	06:39	6.95	094	18:54	7.15	094	00:42	1.10	12:58	1.25
2021-09-23	07:08	6.90	092	19:24	7.00	090	01:16	1.20	13:30	1.35
2021-09-24	07:36	6.75	086	19:53	6.80	082	01:46	1.40	14:01	1.55
2021-09-25	08:04	6.55	078	20:23	6.45	072	02:16	1.65	14:32	1.85
2021-09-26	08:33	6.25	067	20:53	6.05	061	02:45	2.00	15:03	2.20
2021-09-27	09:03	5.90	054	21:27	5.65	048	03:16	2.40	15:38	2.60
2021-09-28	09:41	5.50	041	22:13	5.25	035	03:52	2.80	16:21	3.00
2021-09-29	10:38	5.15	030	23:31	4.90	026	04:40	3.15	17:23	3.30
2021-09-30	12:15	5.00	024	--:--	--.--	---	05:52	3.40	18:56	3.35
