Site : Toulon (Var)
latitude : 43.122684 - longitude : 5.914667
Système horaire : HEURES LOCALES +01h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	01:03	0.50	000	12:58	0.40	000	08:39	0.35	19:55	0.35
2021-07-02	01:56	0.50	000	14:27	0.40	000	09:30	0.35	20:53	0.35
2021-07-03	02:57	0.45	000	16:05	0.40	000	10:18	0.35	21:59	0.35
2021-07-04	04:01	0.45	000	17:11	0.45	000	11:01	0.35	23:14	0.40
2021-07-05	04:56	0.45	000	18:01	0.45	000	11:40	0.35	--:--	--.--
2021-07-06	05:42	0.45	000	18:45	0.50	000	00:27	0.40	12:16	0.35
2021-07-07	06:22	0.45	000	19:25	0.50	000	01:25	0.40	12:51	0.35
2021-07-08	06:59	0.45	000	20:02	0.50	000	02:11	0.40	13:26	0.30
2021-07-09	07:33	0.45	000	20:38	0.55	000	02:51	0.35	14:01	0.30
2021-07-10	08:06	0.45	000	21:12	0.55	000	03:28	0.35	14:38	0.30
2021-07-11	08:40	0.45	000	21:46	0.55	000	04:04	0.35	15:16	0.30
2021-07-12	09:15	0.45	000	22:20	0.55	000	04:42	0.35	15:57	0.30
2021-07-13	09:53	0.45	000	22:56	0.55	000	05:23	0.35	16:41	0.30
2021-07-14	10:35	0.45	000	23:34	0.50	000	06:06	0.35	17:27	0.30
2021-07-15	11:24	0.45	000	--:--	--.--	---	06:52	0.35	18:17	0.30
2021-07-16	00:16	0.50	000	12:23	0.45	000	07:42	0.35	19:11	0.35
2021-07-17	01:05	0.50	000	13:40	0.45	000	08:36	0.35	20:13	0.35
2021-07-18	02:03	0.50	000	15:12	0.45	000	09:34	0.35	21:28	0.35
2021-07-19	03:12	0.45	000	16:33	0.45	000	10:32	0.30	22:57	0.35
2021-07-20	04:23	0.45	000	17:39	0.50	000	11:29	0.30	--:--	--.--
2021-07-21	05:25	0.45	000	18:36	0.50	000	00:22	0.35	12:21	0.30
2021-07-22	06:20	0.45	000	19:28	0.55	000	01:29	0.35	13:11	0.30
2021-07-23	07:09	0.45	000	20:16	0.55	000	02:25	0.35	13:57	0.25
2021-07-24	07:55	0.45	000	21:00	0.55	000	03:15	0.30	14:43	0.25
2021-07-25	08:38	0.45	000	21:42	0.55	000	04:02	0.30	15:28	0.25
2021-07-26	09:20	0.45	000	22:21	0.55	000	04:46	0.30	16:13	0.30
2021-07-27	10:01	0.45	000	22:59	0.55	000	05:30	0.35	16:59	0.30
2021-07-28	10:41	0.45	000	23:35	0.55	000	06:12	0.35	17:45	0.30
2021-07-29	11:24	0.45	000	--:--	--.--	---	06:53	0.35	18:32	0.35
2021-07-30	00:12	0.50	000	12:12	0.45	000	07:33	0.35	19:21	0.35
2021-07-31	00:51	0.50	000	13:13	0.45	000	08:15	0.35	20:15	0.40
