Site : Brest (Finistère)
latitude : 48.382500 - longitude : -4.494717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	10:31	5.75	058	22:59	5.90	053	04:27	2.00	16:53	2.45
2021-06-02	11:36	5.45	049	--:--	--.--	---	05:27	2.30	17:58	2.65
2021-06-03	00:05	5.70	047	12:45	5.35	045	06:33	2.50	19:06	2.70
2021-06-04	01:12	5.60	046	13:51	5.45	047	07:38	2.55	20:11	2.60
2021-06-05	02:14	5.70	049	14:49	5.60	052	08:39	2.45	21:08	2.45
2021-06-06	03:08	5.80	054	15:37	5.85	057	09:31	2.30	21:57	2.25
2021-06-07	03:55	5.95	060	16:18	6.05	063	10:15	2.15	22:39	2.10
2021-06-08	04:36	6.10	065	16:55	6.20	068	10:54	2.00	23:17	1.95
2021-06-09	05:13	6.25	069	17:30	6.35	071	11:31	1.90	23:53	1.85
2021-06-10	05:49	6.30	072	18:03	6.45	073	12:06	1.85	--:--	--.--
2021-06-11	06:24	6.30	073	18:36	6.45	073	00:28	1.80	12:40	1.85
2021-06-12	06:58	6.30	073	19:10	6.45	072	01:03	1.80	13:14	1.90
2021-06-13	07:34	6.20	071	19:45	6.35	069	01:38	1.85	13:49	1.95
2021-06-14	08:11	6.10	067	20:24	6.20	065	02:15	1.90	14:27	2.05
2021-06-15	08:53	5.95	063	21:07	6.05	060	02:55	2.05	15:09	2.20
2021-06-16	09:40	5.75	058	21:58	5.90	055	03:39	2.15	15:56	2.35
2021-06-17	10:35	5.65	053	22:57	5.75	052	04:30	2.30	16:50	2.50
2021-06-18	11:38	5.60	051	--:--	--.--	---	05:28	2.35	17:53	2.50
2021-06-19	00:03	5.75	051	12:45	5.65	053	06:33	2.35	19:02	2.45
2021-06-20	01:11	5.85	056	13:51	5.90	059	07:40	2.20	20:10	2.20
2021-06-21	02:17	6.10	063	14:54	6.20	068	08:45	1.95	21:13	1.85
2021-06-22	03:20	6.35	073	15:52	6.55	078	09:45	1.65	22:13	1.50
2021-06-23	04:18	6.65	082	16:47	6.85	086	10:41	1.40	23:08	1.25
2021-06-24	05:13	6.85	090	17:38	7.05	092	11:34	1.25	--:--	--.--
2021-06-25	06:05	6.95	094	18:28	7.15	095	00:01	1.05	12:25	1.15
2021-06-26	06:55	6.90	094	19:16	7.15	093	00:51	0.95	13:14	1.20
2021-06-27	07:43	6.75	091	20:03	7.00	088	01:40	1.00	14:02	1.35
2021-06-28	08:30	6.55	084	20:50	6.75	080	02:28	1.20	14:49	1.60
2021-06-29	09:16	6.25	075	21:37	6.45	070	03:15	1.50	15:36	1.85
2021-06-30	10:03	5.95	065	22:25	6.10	060	04:03	1.80	16:24	2.15
