Site : Toulon (Var)
latitude : 43.122684 - longitude : 5.914667
Système horaire : HEURES LOCALES +01h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	00:50	0.50	000	12:18	0.40	000	08:29	0.35	19:27	0.30
2021-06-02	01:58	0.50	000	14:01	0.40	000	09:36	0.35	20:28	0.35
2021-06-03	03:10	0.50	000	16:01	0.40	000	10:36	0.35	21:34	0.35
2021-06-04	04:10	0.50	000	17:00	0.40	000	11:24	0.35	22:45	0.35
2021-06-05	04:58	0.50	000	17:42	0.45	000	12:01	0.35	23:52	0.35
2021-06-06	05:37	0.50	000	18:21	0.45	000	12:33	0.35	--:--	--.--
2021-06-07	06:13	0.50	000	18:59	0.50	000	00:50	0.35	13:01	0.30
2021-06-08	06:47	0.50	000	19:36	0.50	000	01:38	0.35	13:27	0.30
2021-06-09	07:19	0.50	000	20:12	0.50	000	02:21	0.35	13:55	0.30
2021-06-10	07:50	0.50	000	20:48	0.55	000	03:00	0.35	14:24	0.30
2021-06-11	08:21	0.50	000	21:24	0.55	000	03:38	0.35	14:56	0.30
2021-06-12	08:51	0.45	000	22:00	0.55	000	04:18	0.40	15:31	0.30
2021-06-13	09:24	0.45	000	22:37	0.55	000	04:59	0.40	16:10	0.30
2021-06-14	09:59	0.45	000	23:17	0.50	000	05:45	0.40	16:53	0.30
2021-06-15	10:41	0.45	000	--:--	--.--	---	06:34	0.35	17:40	0.30
2021-06-16	00:01	0.50	000	11:33	0.40	000	07:28	0.35	18:31	0.30
2021-06-17	00:53	0.50	000	12:46	0.40	000	08:25	0.35	19:26	0.35
2021-06-18	01:53	0.50	000	14:24	0.40	000	09:23	0.35	20:28	0.35
2021-06-19	02:59	0.50	000	15:47	0.40	000	10:20	0.35	21:42	0.35
2021-06-20	04:01	0.50	000	16:51	0.45	000	11:13	0.30	23:06	0.35
2021-06-21	04:55	0.50	000	17:46	0.45	000	12:01	0.30	--:--	--.--
2021-06-22	05:44	0.50	000	18:39	0.50	000	00:23	0.35	12:47	0.30
2021-06-23	06:31	0.50	000	19:31	0.50	000	01:28	0.35	13:31	0.25
2021-06-24	07:17	0.45	000	20:23	0.55	000	02:26	0.30	14:15	0.25
2021-06-25	08:02	0.45	000	21:12	0.55	000	03:19	0.30	15:00	0.25
2021-06-26	08:46	0.45	000	22:00	0.55	000	04:12	0.30	15:45	0.25
2021-06-27	09:30	0.45	000	22:46	0.55	000	05:05	0.35	16:32	0.25
2021-06-28	10:15	0.45	000	23:31	0.55	000	05:59	0.35	17:20	0.30
2021-06-29	11:02	0.40	000	--:--	--.--	---	06:53	0.35	18:10	0.30
2021-06-30	00:16	0.50	000	11:54	0.40	000	07:47	0.35	19:01	0.30
