Site : Brest (Finistère)
latitude : 48.382500 - longitude : -4.494717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	11:39	5.30	040	--:--	--.--	---	05:39	2.70	18:11	2.90
2021-08-02	00:11	5.25	036	12:47	5.15	034	06:38	2.95	19:18	3.05
2021-08-03	01:24	5.15	033	14:01	5.20	035	07:48	3.00	20:32	3.00
2021-08-04	02:38	5.20	037	15:09	5.40	041	08:58	2.90	21:37	2.75
2021-08-05	03:40	5.45	045	16:03	5.70	050	09:55	2.65	22:29	2.45
2021-08-06	04:29	5.75	055	16:47	6.05	060	10:43	2.35	23:12	2.10
2021-08-07	05:12	6.05	064	17:27	6.35	069	11:25	2.05	23:52	1.80
2021-08-08	05:51	6.30	073	18:06	6.60	077	12:04	1.80	--:--	--.--
2021-08-09	06:28	6.55	081	18:43	6.80	084	00:30	1.55	12:42	1.60
2021-08-10	07:05	6.65	086	19:20	6.95	088	01:07	1.35	13:20	1.40
2021-08-11	07:42	6.75	089	19:57	6.95	089	01:45	1.25	13:58	1.35
2021-08-12	08:20	6.70	088	20:36	6.90	086	02:23	1.25	14:37	1.40
2021-08-13	08:59	6.60	084	21:17	6.70	080	03:02	1.35	15:19	1.55
2021-08-14	09:43	6.35	076	22:02	6.35	071	03:45	1.60	16:04	1.80
2021-08-15	10:32	6.05	066	22:56	6.00	060	04:32	1.90	16:56	2.10
2021-08-16	11:33	5.80	055	--:--	--.--	---	05:27	2.25	17:58	2.40
2021-08-17	00:04	5.70	051	12:48	5.65	049	06:36	2.55	19:14	2.55
2021-08-18	01:28	5.55	048	14:13	5.75	050	07:57	2.60	20:39	2.40
2021-08-19	02:56	5.70	054	15:29	6.05	060	09:17	2.35	21:53	2.05
2021-08-20	04:06	6.05	066	16:30	6.50	072	10:23	2.00	22:53	1.60
2021-08-21	05:00	6.40	078	17:21	6.85	083	11:16	1.65	23:43	1.30
2021-08-22	05:47	6.70	088	18:06	7.10	091	12:04	1.35	--:--	--.--
2021-08-23	06:29	6.85	093	18:46	7.20	094	00:28	1.10	12:46	1.20
2021-08-24	07:06	6.90	095	19:23	7.15	094	01:08	1.00	13:25	1.20
2021-08-25	07:40	6.80	092	19:57	7.00	089	01:46	1.10	14:01	1.30
2021-08-26	08:12	6.60	085	20:29	6.75	081	02:20	1.30	14:35	1.55
2021-08-27	08:42	6.35	076	21:00	6.40	071	02:53	1.60	15:09	1.85
2021-08-28	09:13	6.05	065	21:34	6.00	059	03:25	1.95	15:43	2.25
2021-08-29	09:48	5.70	052	22:12	5.60	046	04:00	2.35	16:21	2.65
2021-08-30	10:32	5.35	040	23:04	5.20	034	04:39	2.75	17:09	3.00
2021-08-31	11:37	5.10	030	--:--	--.--	---	05:32	3.10	18:17	3.25
