Site : Pointe-a-Pitre [Guadeloupe] (Guadeloupe)
latitude : 16.224417 - longitude : -61.531334
Système horaire : HEURES LOCALES -04h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	23:16	0.75	000	--:--	--.--	---	07:01	0.45	--:--	--.--
2021-09-02	15:30	0.70	000	--:--	--.--	---	07:49	0.45	18:45	0.65
2021-09-03	00:25	0.75	000	15:38	0.70	000	08:28	0.45	19:34	0.65
2021-09-04	01:21	0.75	000	15:51	0.70	000	09:01	0.45	20:14	0.65
2021-09-05	02:08	0.80	000	16:06	0.75	000	09:30	0.45	20:54	0.65
2021-09-06	02:52	0.80	000	16:24	0.75	000	09:59	0.45	21:37	0.60
2021-09-07	03:36	0.85	000	16:43	0.80	000	10:27	0.45	22:22	0.55
2021-09-08	04:23	0.80	000	17:07	0.80	000	10:57	0.50	23:10	0.55
2021-09-09	05:14	0.80	000	17:34	0.80	000	11:27	0.55	--:--	--.--
2021-09-10	06:10	0.75	000	18:06	0.80	000	00:01	0.50	11:59	0.55
2021-09-11	07:14	0.75	000	18:43	0.80	000	00:54	0.45	12:31	0.60
2021-09-12	08:35	0.70	000	19:28	0.80	000	01:54	0.45	13:04	0.65
2021-09-13	20:24	0.80	000	--:--	--.--	---	03:05	0.45	--:--	--.--
2021-09-14	21:34	0.75	000	--:--	--.--	---	04:34	0.45	--:--	--.--
2021-09-15	14:25	0.70	000	22:58	0.75	000	06:06	0.40	17:35	0.70
2021-09-16	14:51	0.70	000	--:--	--.--	---	07:16	0.40	19:02	0.65
2021-09-17	00:19	0.80	000	15:13	0.75	000	08:07	0.40	19:55	0.65
2021-09-18	01:27	0.80	000	15:34	0.75	000	08:48	0.45	20:38	0.60
2021-09-19	02:23	0.80	000	15:53	0.75	000	09:21	0.45	21:18	0.60
2021-09-20	03:13	0.80	000	16:12	0.80	000	09:50	0.50	21:56	0.55
2021-09-21	03:59	0.80	000	16:30	0.80	000	10:16	0.50	22:34	0.55
2021-09-22	04:43	0.80	000	16:48	0.80	000	10:41	0.55	23:12	0.50
2021-09-23	05:25	0.75	000	17:07	0.80	000	11:05	0.55	23:52	0.50
2021-09-24	06:07	0.75	000	17:28	0.80	000	11:27	0.60	--:--	--.--
2021-09-25	06:53	0.70	000	17:51	0.75	000	00:34	0.45	11:46	0.60
2021-09-26	07:48	0.65	000	18:18	0.75	000	01:20	0.45	11:58	0.60
2021-09-27	09:15	0.65	000	18:50	0.75	000	02:13	0.45	11:41	0.65
2021-09-28	19:34	0.70	000	--:--	--.--	---	03:21	0.50	--:--	--.--
2021-09-29	20:50	0.70	000	--:--	--.--	---	04:47	0.50	--:--	--.--
2021-09-30	22:29	0.70	000	--:--	--.--	---	06:07	0.50	--:--	--.--
