Site : Toulon (Var)
latitude : 43.122684 - longitude : 5.914667
Système horaire : HEURES LOCALES +01h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	01:36	0.50	000	14:54	0.45	000	09:00	0.35	21:20	0.40
2021-08-02	02:40	0.45	000	16:47	0.45	000	09:48	0.35	22:42	0.40
2021-08-03	04:10	0.45	000	17:48	0.50	000	10:40	0.35	--:--	--.--
2021-08-04	05:19	0.45	000	18:32	0.50	000	00:15	0.40	11:31	0.35
2021-08-05	06:08	0.45	000	19:10	0.50	000	01:20	0.40	12:18	0.35
2021-08-06	06:47	0.45	000	19:44	0.55	000	02:03	0.40	13:01	0.35
2021-08-07	07:23	0.45	000	20:16	0.55	000	02:37	0.40	13:41	0.30
2021-08-08	07:56	0.50	000	20:48	0.55	000	03:10	0.35	14:21	0.30
2021-08-09	08:30	0.50	000	21:19	0.55	000	03:43	0.35	15:01	0.30
2021-08-10	09:05	0.50	000	21:52	0.55	000	04:17	0.35	15:43	0.30
2021-08-11	09:43	0.50	000	22:26	0.55	000	04:54	0.35	16:27	0.30
2021-08-12	10:23	0.50	000	23:02	0.55	000	05:33	0.35	17:14	0.30
2021-08-13	11:09	0.50	000	23:40	0.55	000	06:16	0.35	18:06	0.35
2021-08-14	12:02	0.50	000	--:--	--.--	---	07:02	0.35	19:03	0.35
2021-08-15	00:22	0.50	000	13:11	0.50	000	07:53	0.35	20:09	0.40
2021-08-16	01:13	0.50	000	14:53	0.50	000	08:51	0.35	21:30	0.40
2021-08-17	02:26	0.45	000	16:36	0.50	000	09:55	0.35	23:07	0.40
2021-08-18	04:08	0.45	000	17:43	0.50	000	11:01	0.35	--:--	--.--
2021-08-19	05:28	0.45	000	18:34	0.55	000	00:33	0.40	12:01	0.35
2021-08-20	06:24	0.45	000	19:19	0.55	000	01:34	0.35	12:55	0.30
2021-08-21	07:09	0.45	000	19:59	0.55	000	02:22	0.35	13:43	0.30
2021-08-22	07:50	0.45	000	20:37	0.60	000	03:03	0.35	14:28	0.30
2021-08-23	08:28	0.50	000	21:13	0.60	000	03:41	0.35	15:12	0.30
2021-08-24	09:05	0.50	000	21:47	0.55	000	04:17	0.35	15:53	0.30
2021-08-25	09:42	0.50	000	22:20	0.55	000	04:50	0.35	16:35	0.35
2021-08-26	10:18	0.50	000	22:51	0.55	000	05:22	0.35	17:17	0.35
2021-08-27	10:55	0.50	000	23:22	0.55	000	05:53	0.40	18:01	0.40
2021-08-28	11:36	0.50	000	23:53	0.50	000	06:23	0.40	18:50	0.40
2021-08-29	12:24	0.50	000	--:--	--.--	---	06:58	0.40	19:45	0.45
2021-08-30	00:25	0.50	000	13:39	0.50	000	07:41	0.40	20:53	0.45
2021-08-31	01:05	0.50	000	16:27	0.50	000	08:34	0.40	22:26	0.45
